date,homeTeam,awayTeam,homeScore,awayScore
2023-08-11T00:00:00Z,Burnley,Man City,0,3
2023-08-12T00:00:00Z,Arsenal,Nott'm Forest,2,1
2023-08-12T00:00:00Z,Bournemouth,West Ham,1,1
2023-08-12T00:00:00Z,Brighton,Luton,4,1
2023-08-12T00:00:00Z,Everton,Fulham,0,1
2023-08-12T00:00:00Z,Sheffield United,Crystal Palace,0,1
2023-08-12T00:00:00Z,Newcastle,Aston Villa,5,1
2023-08-13T00:00:00Z,Brentford,Tottenham,2,2
2023-08-13T00:00:00Z,Chelsea,Liverpool,1,1
2023-08-14T00:00:00Z,Man United,Wolves,1,0
2023-08-18T00:00:00Z,Nott'm Forest,Sheffield United,2,1
2023-08-19T00:00:00Z,Fulham,Brentford,0,3
2023-08-19T00:00:00Z,Liverpool,Bournemouth,3,1
2023-08-19T00:00:00Z,Wolves,Brighton,1,4
2023-08-19T00:00:00Z,Tottenham,Man United,2,0
2023-08-19T00:00:00Z,Man City,Newcastle,1,0
2023-08-20T00:00:00Z,Aston Villa,Everton,4,0
2023-08-20T00:00:00Z,West Ham,Chelsea,3,1
2023-08-21T00:00:00Z,Crystal Palace,Arsenal,0,1
2023-08-25T00:00:00Z,Chelsea,Luton,3,0
2023-08-26T00:00:00Z,Bournemouth,Tottenham,0,2
2023-08-26T00:00:00Z,Arsenal,Fulham,2,2
2023-08-26T00:00:00Z,Brentford,Crystal Palace,1,1
2023-08-26T00:00:00Z,Everton,Wolves,0,1
2023-08-26T00:00:00Z,Man United,Nott'm Forest,3,2
2023-08-26T00:00:00Z,Brighton,West Ham,1,3
2023-08-27T00:00:00Z,Burnley,Aston Villa,1,3
2023-08-27T00:00:00Z,Sheffield United,Man City,1,2
2023-08-27T00:00:00Z,Newcastle,Liverpool,1,2
2023-09-01T00:00:00Z,Luton,West Ham,1,2
2023-09-02T00:00:00Z,Sheffield United,Everton,2,2
2023-09-02T00:00:00Z,Brentford,Bournemouth,2,2
2023-09-02T00:00:00Z,Burnley,Tottenham,2,5
2023-09-02T00:00:00Z,Chelsea,Nott'm Forest,0,1
2023-09-02T00:00:00Z,Man City,Fulham,5,1
2023-09-02T00:00:00Z,Brighton,Newcastle,3,1
2023-09-03T00:00:00Z,Crystal Palace,Wolves,3,2
2023-09-03T00:00:00Z,Liverpool,Aston Villa,3,0
2023-09-03T00:00:00Z,Arsenal,Man United,3,1
2023-09-16T00:00:00Z,Wolves,Liverpool,1,3
2023-09-16T00:00:00Z,Aston Villa,Crystal Palace,3,1
2023-09-16T00:00:00Z,Fulham,Luton,1,0
2023-09-16T00:00:00Z,Man United,Brighton,1,3
2023-09-16T00:00:00Z,Tottenham,Sheffield United,2,1
2023-09-16T00:00:00Z,West Ham,Man City,1,3
2023-09-16T00:00:00Z,Newcastle,Brentford,1,0
2023-09-17T00:00:00Z,Bournemouth,Chelsea,0,0
2023-09-17T00:00:00Z,Everton,Arsenal,0,1
2023-09-18T00:00:00Z,Nott'm Forest,Burnley,1,1
2023-09-23T00:00:00Z,Crystal Palace,Fulham,0,0
2023-09-23T00:00:00Z,Luton,Wolves,1,1
2023-09-23T00:00:00Z,Man City,Nott'm Forest,2,0
2023-09-23T00:00:00Z,Brentford,Everton,1,3
2023-09-23T00:00:00Z,Burnley,Man United,0,1
2023-09-24T00:00:00Z,Arsenal,Tottenham,2,2
2023-09-24T00:00:00Z,Brighton,Bournemouth,3,1
2023-09-24T00:00:00Z,Chelsea,Aston Villa,0,1
2023-09-24T00:00:00Z,Liverpool,West Ham,3,1
2023-09-24T00:00:00Z,Sheffield United,Newcastle,0,8
2023-09-30T00:00:00Z,Aston Villa,Brighton,6,1
2023-09-30T00:00:00Z,Bournemouth,Arsenal,0,4
2023-09-30T00:00:00Z,Everton,Luton,1,2
2023-09-30T00:00:00Z,Man United,Crystal Palace,0,1
2023-09-30T00:00:00Z,Newcastle,Burnley,2,0
2023-09-30T00:00:00Z,West Ham,Sheffield United,2,0
2023-09-30T00:00:00Z,Wolves,Man City,2,1
2023-09-30T00:00:00Z,Tottenham,Liverpool,2,1
2023-10-01T00:00:00Z,Nott'm Forest,Brentford,1,1
2023-10-02T00:00:00Z,Fulham,Chelsea,0,2
2023-10-03T00:00:00Z,Luton,Burnley,1,2
2023-10-07T00:00:00Z,Luton,Tottenham,0,1
2023-10-07T00:00:00Z,Burnley,Chelsea,1,4
2023-10-07T00:00:00Z,Everton,Bournemouth,3,0
2023-10-07T00:00:00Z,Fulham,Sheffield United,3,1
2023-10-07T00:00:00Z,Man United,Brentford,2,1
2023-10-07T00:00:00Z,Crystal Palace,Nott'm Forest,0,0
2023-10-08T00:00:00Z,Brighton,Liverpool,2,2
2023-10-08T00:00:00Z,West Ham,Newcastle,2,2
2023-10-08T00:00:00Z,Wolves,Aston Villa,1,1
2023-10-08T00:00:00Z,Arsenal,Man City,1,0
2023-10-21T00:00:00Z,Liverpool,Everton,2,0
2023-10-21T00:00:00Z,Bournemouth,Wolves,1,2
2023-10-21T00:00:00Z,Brentford,Burnley,3,0
2023-10-21T00:00:00Z,Man City,Brighton,2,1
2023-10-21T00:00:00Z,Newcastle,Crystal Palace,4,0
2023-10-21T00:00:00Z,Nott'm Forest,Luton,2,2
2023-10-21T00:00:00Z,Chelsea,Arsenal,2,2
2023-10-21T00:00:00Z,Sheffield United,Man United,1,2
2023-10-22T00:00:00Z,Aston Villa,West Ham,4,1
2023-10-23T00:00:00Z,Tottenham,Fulham,2,0
2023-10-27T00:00:00Z,Crystal Palace,Tottenham,1,2
2023-10-28T00:00:00Z,Chelsea,Brentford,0,2
2023-10-28T00:00:00Z,Arsenal,Sheffield United,5,0
2023-10-28T00:00:00Z,Bournemouth,Burnley,2,1
2023-10-28T00:00:00Z,Wolves,Newcastle,2,2
2023-10-29T00:00:00Z,West Ham,Everton,0,1
2023-10-29T00:00:00Z,Aston Villa,Luton,3,1
2023-10-29T00:00:00Z,Brighton,Fulham,1,1
2023-10-29T00:00:00Z,Liverpool,Nott'm Forest,3,0
2023-10-29T00:00:00Z,Man United,Man City,0,3
2023-11-04T00:00:00Z,Fulham,Man United,0,1
2023-11-04T00:00:00Z,Brentford,West Ham,3,2
2023-11-04T00:00:00Z,Burnley,Crystal Palace,0,2
2023-11-04T00:00:00Z,Everton,Brighton,1,1
2023-11-04T00:00:00Z,Man City,Bournemouth,6,1
2023-11-04T00:00:00Z,Sheffield United,Wolves,2,1
2023-11-04T00:00:00Z,Newcastle,Arsenal,1,0
2023-11-05T00:00:00Z,Nott'm Forest,Aston Villa,2,0
2023-11-05T00:00:00Z,Luton,Liverpool,1,1
2023-11-06T00:00:00Z,Tottenham,Chelsea,1,4
2023-11-11T00:00:00Z,Wolves,Tottenham,2,1
2023-11-11T00:00:00Z,Arsenal,Burnley,3,1
2023-11-11T00:00:00Z,Crystal Palace,Everton,2,3
2023-11-11T00:00:00Z,Man United,Luton,1,0
2023-11-11T00:00:00Z,Bournemouth,Newcastle,2,0
2023-11-12T00:00:00Z,Aston Villa,Fulham,3,1
2023-11-12T00:00:00Z,Brighton,Sheffield United,1,1
2023-11-12T00:00:00Z,Liverpool,Brentford,3,0
2023-11-12T00:00:00Z,West Ham,Nott'm Forest,3,2
2023-11-12T00:00:00Z,Chelsea,Man City,4,4
2023-11-25T00:00:00Z,Man City,Liverpool,1,1
2023-11-25T00:00:00Z,Burnley,West Ham,1,2
2023-11-25T00:00:00Z,Luton,Crystal Palace,2,1
2023-11-25T00:00:00Z,Newcastle,Chelsea,4,1
2023-11-25T00:00:00Z,Nott'm Forest,Brighton,2,3
2023-11-25T00:00:00Z,Sheffield United,Bournemouth,1,3
2023-11-25T00:00:00Z,Brentford,Arsenal,0,1
2023-11-26T00:00:00Z,Tottenham,Aston Villa,1,2
2023-11-26T00:00:00Z,Everton,Man United,0,3
2023-11-27T00:00:00Z,Fulham,Wolves,3,2
2023-12-02T00:00:00Z,Arsenal,Wolves,2,1
2023-12-02T00:00:00Z,Brentford,Luton,3,1
2023-12-02T00:00:00Z,Burnley,Sheffield United,5,0
2023-12-02T00:00:00Z,Nott'm Forest,Everton,0,1
2023-12-02T00:00:00Z,Newcastle,Man United,1,0
2023-12-03T00:00:00Z,Bournemouth,Aston Villa,2,2
2023-12-03T00:00:00Z,Chelsea,Brighton,3,2
2023-12-03T00:00:00Z,Liverpool,Fulham,4,3
